Region,District,License-Number,Facility-Name,Facility-Type,Facility-Address-1,Facility-Address-2,Facility-Address-3,Max-Number-of-Children,Max-Number-of-Infants,Max-Number-of-Preschool-Aged-Children,Max-Number-of-School-Age-Children,Language-of-Service,Operator-Id,Designated-Facility
Region 1 - Moncton,Anglophone East School District,2021022,Precious Jewels Early Learning Centre,Full-time Centre,"161 Salisbury Road, Moncton",NB,E1E 1A6,36,6,30,0,English,286381,1
Region 2 - Saint John,Anglophone South School District,2021023,Hands On Learning Enrichment Centre - Saint John,Full-time Centre,"1672 Rothesay Road, Saint John",NB,E2H 2J3,50,6,28,16,English,236628,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2021026,Garderie Chez Tante Rosi Ltée 2,Full-time Centre,"133 de l'École Rue, Shippagan",NB,E8S 1V5,55,9,46,0,French,236844,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2021027,Garderie Chez Tante Rosi ltée-Halte scolaire,Part-time Centre,"133 de l'École Rue, Shippagan",NB,E8S 1V5,15,0,0,15,French,236844,0
Region 2 - Saint John,Anglophone South School District,2021029,Inspire Early Learning Centre 1,Full-time Centre,"186 Adelaide Street, Saint John",NB,E2K 1X1,52,0,37,15,English,288981,1
Region 1 - Moncton,Anglophone East School District,2021030,Auntie Guio,Home,"178 Yvonne Street, Dieppe",NB,E1A 2C1,6,2,3,1,English,289421,1
Region 2 - Saint John,Anglophone South School District,2021041,Inspire Early Learning Centre 2,Full-time Centre,"186 Adelaide Street, Saint John",NB,E2K 1X1,48,12,36,0,English,288981,1
Region 1 - Moncton,Anglophone East School District,2021050,Here We Grow Youth Center 2,Part-time Centre,"55 Douglas Street, Salisbury",NB,E4J 2B4,15,0,0,15,English,236631,0
Region 1 - Moncton,District scolaire francophone Sud,2021051,Garderie des P'tits Mollusques 4,Part-time Centre,"1546 525 Route, St-Marie-de-Kent",NB,E4S 2H9,30,0,0,30,French,235183,0
Region 2 - Saint John,Anglophone South School District,2021054,SCS Little Lights Early Learning Centre,Full-time Centre,"384 St. George Street, Sussex",NB,E4E 1T4,52,0,52,0,English,236663,1
Region 2 - Saint John,Anglophone South School District,2021055,SCS Little Lights Early Learning Centre #2,Full-time Centre,"384 St. George Street, Sussex",NB,E4E 1G6,25,0,20,0,English,236663,1
Region 3 - Fredericton,Anglophone West School District,2021057,Oakland Academy Vanier Park,Full-time Centre,"190 Doak Road, Fredericton",NB,E3C 2G2,60,12,48,0,English,293464,1
Region 2 - Saint John,Anglophone South School District,2021058,Bright Minds Preschool,Home,"535 Canal Road, Canal",NB,E5C 1H6,6,0,5,9,English,293568,1
Region 2 - Saint John,Anglophone South School District,2021059,Seawood Early Childcare Centre #3,Part-time Centre,"859 Sand Cove Road, Saint John",NB,E2M 3E5,30,0,0,30,English,236804,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2021061,Halte Scolaire Le Tremplin 2,Part-time Centre,"520 De L'Église Rue, Tracadie-Sheila",NB,E1X 1B1,30,0,0,30,French,96844,0
Region 3 - Fredericton,Anglophone West School District,2021062,Meduxnekeag Curious Kids Child Care,Full-time Centre,"200 School Street, Woodstock",NB,E7M 3Y2,23,0,20,23,English,236777,1
Region 1 - Moncton,Anglophone East School District,2021065,Wee College Salisbury Youth,Part-time Centre,"3128 Main Street, Salisbury",NB,E4J 2L6,24,0,0,24,English,246187,0
Region 1 - Moncton,District scolaire francophone Sud,2021072,Le Centre éducatif des Aventuriers 2,Full-time Centre,"531 La Montain Chemin, Memramcook",NB,E4K 1H1,24,0,6,24,French,268955,1
Region 4 - Bathurst,Anglophone North School District,2021074,Buds and Blossoms Daycare,Home,"532 King George Highway, Miramichi",NB,E1V 1N3,6,2,3,1,English,297545,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2021085,Halte Scolaire Le coin des grands,Part-time Centre,"39 Saint-Joseph Rue, Sainte-Anne-de-Madawaska",NB,E7E 1K8,33,0,0,33,French,237138,0
Region 3 - Fredericton,Anglophone West School District,2021077,Little Treehouse,Full-time Centre,"1052 Northside Drive, Minto",NB,E4B 3H7,27,6,21,0,English,301215,1
